"Reference","Value","Datasheet","Footprint","Qty","Manufacturer","Manufacturer Part #","Supplier","Supplier Part #","Unit Cost","Cost @ Qty","Manufacturer 2","Manufacturer Part # 2","Supplier 2","Supplier Part # 2","Unit Cost 2","Cost @ Qty 2"
"U2","RFM95","https://learn.adafruit.com/adafruit-rfm69hcw-and-rfm96-rfm95-rfm98-lora-packet-padio-breakouts/overview","hb_footprint_lib:rfm95_connector","1","Sullins Connector Solutions","PPPC091LFBN-RC","Digikey","PPPC091LFBN-RC","0.63","0.63","Sullins Connector Solutions","PPPC051LFBN-RC","Digikey","PPPC051LFBN-RC","0.43","0.43"
"U9,U10,U11","HX711","https://learn.adafruit.com/adafruit-hx711-24-bit-adc","hb_footprint_lib:hx711_connector","3","Sullins Connector Solutions","PPPC061LFBN-RC","Digikey","PPPC061LFBN-RC","0.47","0.47","","","","","",""
"U4,U5,U6,U7,U8","MCP9600_Module","https://learn.adafruit.com/adafruit-mcp9600-i2c-thermocouple-amplifier/overview","hb_footprint_lib:mcp9600_connector","5","Sullins Connector Solutions","PPPC091LFBN-RC","Digikey","PPPC091LFBN-RC","0.63","0.63","","","","","",""
"R2,R4,R6,R8,R10,R12,R14,R16,R18","2.7K","https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","9","Panasonic Electronic Components","ERJ-6GEYJ272V","Digikey","P2.7KACT-ND","0.10","0.042","","","","","",""
"R1,R3,R5,R7,R9,R11,R13,R15,R17","1K","https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","9","Panasonic Electronic Components","ERA-6AEB102V","Digikey","P1.0KDACT-ND","0.10","0.066","","","","","",""
"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9","CWDM3011N TR13 PBFREE","https://my.centralsemi.com/datasheets/CWDM3011N.PDF","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","9","Central Semiconductor Corp","CWDM3011N TR13 PBFREE","Digikey","1514-CWDM3011NTR13PBFREECT-ND","1.09","1.09","","","","","",""
"J11,J12,J13,J14,J15,J16,J17,J18,J19","1723103102","https://www.molex.com/en-us/products/part-detail/1723103102?display=pdf","hb_footprint_lib:CONN02_1723103102_MOL","9","Molex","1723103102","Digikey","900-1723103102-ND","0.85","0.85","","","","","",""
"J2,J3,J4,J5,J6,J7,J8,J9,J10","0430450400","https://tools.molex.com/pdm_docs/ps/PS-43045.pdf","hb_footprint_lib:CONN_SD-43045-001_04_MOL","9","Molex","0430450400","Digikey","WM1814-ND","1.42","1.42","","","","","",""
"J1","Conn_01x02_Shielded","https://www.lcsc.com/datasheet/lcsc_datasheet_2401181031_Changzhou-Amass-Elec-XT60PW-M_C98732.pdf","hb_footprint_lib:AMASS_XT60PW-M","1","Changzhou Amass Elec","XT60PW-M","LCSC","C98732","0.59","0.59","","","","","",""
"D1,D2,D3,D4,D5,D6,D7,D8,D9","SBRT20U60SP5-7","https://www.diodes.com/assets/Datasheets/SBRT20U60SP5.pdf","hb_footprint_lib:POWERDI5_DIO","9","Diodes Incorporated","SBRT20U60SP5-7","Digikey","SBRT20U60SP5-7DICT-ND","0.78","0.78","","","","","",""
